Symbol,Name,Industry,Price,Dividend,Market Cap,Revenue,P/B,P/S,P/E,Cashflow,Debt/Equity,Quick Ratio,Change From High,Bounce from bottom,Three month return,Revenue Growth,Earnings Growth
KAP,Kap Industrial Holdings Ltd,Misc. Transportation,2.10,10.95,5474.99,25602.00,0.44,0.21,5.09,1040.00,49.21,0.89,-70.79,82.61,-28.57,-5.03,-3.58
MTA,Metair Investments Limited,Auto & Truck Parts,14.70,6.80,2925.09,11238.00,0.67,0.26,4.53,76.01,58.69,1.13,-42.91,23.32,-27.30,1.73,-19.92
PIK,Pick 'n Pay Stores Limited,Retail (Grocery),54.75,4.29,27016.40,89281.50,8.68,0.30,21.94,1764.60,627.56,0.39,-24.99,21.26,-1.55,-2.08,-23.87
ARI,African Rainbow Minerals Ltd,Metal Mining,172.10,8.13,38422.39,8834.00,1.18,4.35,9.48,1943.00,7.21,2.24,-10.95,109.72,20.74,33.74,62.81
DTC,Datatec Ltd.,Computer Services,27.02,--,5385.77,74712.73,0.54,0.07,25.53,1864.90,85.10,1.04,-28.84,53.96,-18.29,-3.39,3243.90
SDO,Stadio Holdings Ltd,Schools,0.99,--,810.85,815.43,0.52,0.99,11.75,-26.14,14.95,1.15,-71.14,32.00,-41.76,20.97,-19.54
MRP,MR Price Group Ltd,Retail (Apparel),130.00,5.66,33415.95,22361.00,3.97,1.49,11.55,517.00,1.44,2.66,-39.00,32.38,-13.89,2.28,-11.10
LEW,Lewis Group Limited,Furniture & Fixtures,15.49,16.07,1227.00,6137.20,0.23,0.20,4.20,271.00,0.00,5.07,-59.10,15.51,-41.55,6.14,18.10
CGR,Calgro M3 Holdings Limited.,Construction Services,4.10,--,602.88,984.13,0.65,0.61,111.38,342.61,130.49,0.39,-48.75,412.50,46.43,25.76,122.99
NPK,Nampak Ltd,Containers & Packaging,1.23,--,793.92,14642.40,0.09,0.05,2.91,-471.40,90.54,0.76,-89.29,44.71,-56.84,-26.89,-313.80
ITE,Italtile Limited,Retail (Specialty),10.13,4.15,13388.36,6975.00,2.21,1.92,9.91,52.00,14.34,3.25,-30.14,11.32,-14.37,3.32,-0.37
SPP,Spar Group Limited,Retail (Grocery),175.19,4.09,33742.01,109477.10,4.52,0.31,15.66,-727.30,107.66,0.84,-18.98,23.16,6.82,10.09,-24.78
HLM,Hulamin Limited,Misc. Fabricated Products,1.16,15.52,370.73,11533.82,0.10,0.03,--,72.58,21.56,0.98,-67.69,36.47,-27.50,-0.82,-188.39
WHL,Woolworths Holdings Limited,Food Processing,28.75,3.10,30146.50,73103.00,2.92,0.41,--,-445.00,152.66,0.34,-53.26,19.74,-19.47,3.97,-17.14
RLO,Reunert Limited,Electronic Instr. & Controls,45.49,11.28,8414.25,10714.00,1.00,0.79,9.40,394.00,5.24,1.58,-42.55,27.71,-22.64,-3.98,-40.09
ART,Argent Industrial Limited,Iron & Steel,4.60,2.17,297.01,1721.58,0.34,0.17,4.54,93.57,7.23,1.35,-25.81,15.00,-21.37,1.48,-0.36
SAP,Sappi Limited,Paper & Paper Products,26.43,8.90,14327.23,99724.70,0.42,0.14,3.90,34.71,97.23,0.93,-56.25,53.66,-14.05,-12.97,-97.22
AIP,Adcock Ingram Holdings Limited,Retail (Drugs),45.92,4.36,8070.85,7078.44,1.83,1.14,11.07,290.48,0.00,1.22,-32.43,24.11,10.65,0.94,3.01
SEP,Sephaku Holdings Ltd,Construction - Raw Materials,0.36,--,91.62,835.82,0.08,0.11,2.06,29.20,11.65,0.80,-81.35,20.00,-52.00,-9.02,-128.88
TKG,Telkom SA SOC Ltd,Communications Services,19.04,16.86,9732.11,41774.00,0.32,0.23,3.45,-1878.00,34.63,0.82,-80.97,43.27,-27.66,4.72,-35.01
MFL,Metrofile Holdings Ltd,Computer Services,2.40,4.58,1086.36,913.42,1.80,1.19,26.48,15.63,112.77,1.30,-23.57,100.00,-5.88,8.02,27.49
HDC,Hudaco Industries Limited,Appliance & Tool,61.19,9.81,1981.25,6703.83,0.71,0.30,4.60,388.09,41.22,1.13,-54.96,9.66,-38.99,3.00,18.72
MEI,Mediclinic International PLC,Healthcare Facilities,2.74,1.17,1996.46,2932.00,0.64,0.68,--,285.00,62.90,1.71,-34.61,18.10,-20.23,9.23,164.88
KIO,Kumba Iron Ore Ltd.,Metal Mining,474.32,9.86,152771.80,64285.00,4.20,2.38,9.38,6804.00,1.50,2.39,-10.34,131.09,69.00,13.47,-7.10
RBP,Royal Bafokeng Platinum Ltd,Metal Mining,34.59,--,10357.02,7491.90,0.55,1.38,167.89,-667.70,35.22,2.64,-46.78,138.55,-30.82,120.02,-19.89
BAW,Barloworld Limited,Rental & Leasing,67.29,6.87,13527.39,56834.00,0.60,0.24,7.46,2705.00,35.43,1.37,-49.31,30.89,-16.98,-9.50,35.38
PPH,Pepkor Holdings Ltd,Retail (Department & Discount),12.00,1.74,41854.21,69634.00,0.73,0.60,18.68,-1161.00,30.68,0.78,-38.24,28.89,-22.08,6.46,-18.06
CLH,City Lodge Hotels Limited,Hotels & Motels,23.30,12.45,1015.27,1547.98,0.92,0.66,4.16,-211.71,128.74,1.36,-80.34,75.19,-51.36,0.23,-66.58
RDF,Redefine Properties Ltd,Real Estate Operations,1.92,25.07,11122.91,8791.20,0.19,1.27,3.12,-734.38,73.60,0.26,-79.53,38.13,-64.64,9.62,-364.60
BLU,Blue Label Telecoms Limited,Communications Services,2.55,--,2311.55,25869.43,0.97,0.09,--,-290.47,147.20,0.93,-51.15,67.76,7.14,1.90,244.95
EOH,EOH Holdings Ltd.,Software & Programming,2.98,--,531.40,11791.07,0.32,0.05,--,-826.26,158.55,0.96,-88.08,39.91,-16.06,-17.41,69.29
VOD,Vodacom Group Ltd,Communications Services,127.50,6.16,234072.80,90746.00,2.55,2.58,13.82,4586.00,57.35,1.26,-6.69,40.57,14.47,5.55,-1.83
SUI,Sun International Ltd,Casinos & Gaming,10.00,--,1367.31,17232.00,0.48,0.08,1.92,2299.00,549.64,0.35,-82.86,25.00,-68.75,4.41,125.63
IVT,Invicta Holdings Limited,Constr. & Agric. Machinery,4.66,10.73,505.59,10449.70,0.12,0.05,3.70,-603.56,67.81,1.02,-83.35,32.76,-50.95,-0.01,1049.02
NT1,Net 1 UEPS Technologies Inc,Consumer Financial Services,3.16,--,180.50,360.99,0.56,0.50,--,-15.26,26.61,1.21,-28.99,17.04,-13.90,-0.20,13.06
EXX,Exxaro Resources Limited,Coal,123.03,11.62,44131.69,25726.00,0.89,1.72,4.04,-9801.00,24.46,1.41,-28.26,63.89,8.82,4.04,13.78
ASC,Ascendis Health Ltd,Major Drugs,0.85,--,396.47,7117.77,0.21,0.06,--,-195.66,300.17,0.37,-85.09,193.10,102.38,11.65,-38.43
OCE,Oceana Group Ltd,Food Processing,58.00,6.26,7565.04,7647.42,1.35,0.99,11.93,-248.80,73.19,1.04,-22.68,39.83,6.03,-2.72,-33.25
NTC,Netcare Limited,Healthcare Facilities,14.23,7.80,20847.06,21589.00,2.01,0.97,8.08,-207.00,67.23,0.94,-33.26,23.31,-22.24,1.83,-44.10
GND,Grindrod Limited,Misc. Transportation,3.30,5.82,2943.11,3834.46,0.25,0.77,7.49,122.13,74.11,0.88,-55.94,17.44,-22.35,7.22,-54.73
CAC,,,28.75,0.21,251.13,173.06,9.07,1.45,26.34,-14.84,2.81,1.72,0.00,2638.10,141.39,81.03,316.24
ARL,Astral Foods Limited,Food Processing,155.50,2.73,6674.41,13485.47,1.60,0.49,9.38,-269.14,1.17,1.23,-30.12,10.93,-16.62,4.33,0.29
RFG,Rhodes Food Group Holdings Ltd,Food Processing,14.85,1.88,3902.02,5413.63,1.57,0.72,18.01,83.52,47.43,0.79,-16.05,145.05,6.07,9.59,-2.36
BID,Bid Corporation Ltd,Restaurants,246.30,2.68,82610.05,129250.00,2.88,0.64,17.00,-780.66,36.85,0.81,-31.20,44.01,-11.44,3.21,3.87
AMS,Anglo American Platinum Ltd,Metal Mining,1109.95,2.49,299333.40,99551.00,4.92,3.01,15.81,14917.00,1.47,0.86,-20.33,5870.68,8.31,37.90,136.48
TFG,Foschini Group Ltd,Retail (Apparel),63.50,12.36,15034.30,34101.40,1.05,0.44,5.61,3038.50,125.71,0.92,-66.33,13.39,-49.40,6.55,5.66
BHP,BHP Group PLC,Metal Mining,15.93,7.07,89381.48,35452.99,2.10,2.52,11.82,-517.93,52.56,1.58,-23.38,69.47,9.94,7.48,25.86
AFX,African Oxygen Limited,Chemical Manufacturing,16.12,6.27,5526.79,6086.00,1.16,0.91,7.92,463.00,22.24,1.98,-33.33,13.52,-12.86,-1.81,131.66
ADI,Adaptit Holdings Ltd.,Software & Programming,1.37,--,208.94,1438.14,0.28,0.15,2.74,-44.62,74.27,0.51,-80.26,13.22,-12.18,9.81,-33.91
ZED,Zeder Investment Limited,Misc. Financial Services,1.92,5.73,3221.91,7492.00,0.41,0.43,--,-244.00,52.02,0.58,-14.67,29.73,2.90,2.53,-483.96
MSM,Massmart Holdings Limited,Retail (Specialty),21.95,9.48,4810.10,93660.00,1.00,0.05,--,794.80,293.72,0.27,-67.73,7.97,-47.61,0.90,-169.69
CFR,Compagnie Financiere Richemont SA,Jewelry & Silverware,102.13,1.87,540203.80,277164.30,1.74,1.95,32.01,11991.38,56.86,1.73,-18.59,28.97,-1.99,-4.73,-87.98
AVV,Alviva Holdings Ltd,Computer Storage Devices,5.78,5.19,787.92,15922.64,0.35,0.05,2.16,-147.02,48.11,1.13,-67.40,73.05,-17.43,-4.41,-35.19
REM,Remgro Limited,Food Processing,137.61,4.10,72825.55,56968.00,0.77,1.28,--,-95.00,22.15,2.20,-31.93,35.51,-14.37,4.12,121.48
SPG,Super Group Limited,Misc. Transportation,17.37,--,6453.09,37861.77,0.57,0.17,4.82,-509.85,60.13,0.82,-50.37,55.23,-19.25,-2.97,-19.27
ATT,Attacq Ltd,Real Estate Operations,4.80,17.92,3594.10,2283.24,0.22,1.57,--,-155.51,67.12,1.47,-64.58,13.48,-48.11,7.94,-184.79
MPT,Mpact Ltd,Paper & Paper Products,9.27,6.47,1606.53,11076.30,0.45,0.15,--,213.40,78.46,1.43,-63.92,735.14,-28.69,5.87,-348.72
SAC,SA Corporate Re Est Fd Managers (Pty)Ltd,Investment Services,1.03,27.67,2489.59,2367.36,0.22,1.05,11.05,-940.18,58.15,0.73,-71.78,39.19,-50.48,-0.03,-252.60
CMH,Combined Motor Holdings Limited,Retail (Specialty),9.70,18.14,725.58,11154.76,0.96,0.07,3.40,539.29,181.65,0.47,-59.41,13.72,-47.28,2.60,2.42
IMP,Impala Platinum Holdings Limited,Metal Mining,120.22,--,103805.90,48629.00,2.21,2.13,59.23,6781.00,21.88,1.21,-32.27,168.59,-5.93,19.12,36.61
SHP,Shoprite Holdings Ltd,Retail (Grocery),103.34,3.09,61108.92,150395.00,2.59,0.41,16.54,-2400.00,168.81,0.44,-42.18,8.77,-12.66,7.01,-1.36
GPL,Grand Parade Investments Ltd,Casinos & Gaming,2.10,--,987.05,1409.42,0.48,0.70,12.21,-75.78,33.04,0.92,-44.74,9.95,-38.95,19.37,-67.41
LHC,Life Healthcare Group Holdings Ltd,Healthcare Facilities,17.36,3.05,25473.18,25672.00,1.56,0.99,9.88,1274.00,79.45,0.66,-33.23,12.44,-23.69,6.82,118.92
MIX,MiX Telematics Ltd.,Software & Programming,6.03,2.65,3623.63,1975.86,1.93,1.83,17.39,195.54,4.12,1.76,-39.40,47.07,-23.38,4.32,29.54
SUR,Spur Corporation Limited,Restaurants,16.25,9.29,1478.70,944.78,1.78,1.57,9.38,52.34,0.00,7.50,-43.58,15.99,-30.85,8.40,35.70
DRD,DRDGOLD Ltd.,Gold & Silver,17.70,2.82,15303.22,2762.10,4.52,5.54,153.31,-59.10,0.41,0.77,-12.03,594.12,74.73,68.57,756.84
FBR,Famous Brands Ltd,Restaurants,37.01,2.43,3707.89,7780.32,2.21,0.48,10.24,518.61,182.17,0.97,-61.83,89.79,-32.71,1.69,128.76
BTI,British American Tobacco plc,Tobacco,32.24,6.35,73965.12,25877.00,1.16,2.86,13.06,3583.00,70.25,0.38,-8.07,36.44,7.45,6.62,-11.51
WBO,Wilson Bayly Holmes-Ovcon Limited,Construction Services,95.80,1.98,5737.51,40614.30,0.87,0.14,10.21,1064.18,5.02,1.08,-35.72,50.87,-3.02,13.83,208.01
MDI,Master Drilling Group Ltd,Metal Mining,5.25,4.95,783.51,2601.75,0.27,0.30,2.98,-57.74,35.83,1.62,-58.00,5.00,-46.37,9.85,-3.80
MNP,Mondi Plc,Containers & Packaging,15.35,1.55,7388.79,6477.88,2.06,1.14,10.19,155.98,56.69,0.58,-17.52,32.67,-2.35,-6.85,-26.44
GFI,Gold Fields Limited,Gold & Silver,137.10,1.17,118738.60,52044.42,2.32,2.28,40.12,2597.75,78.46,0.50,-15.95,123.65,48.67,29.46,391.42
CSB,Cashbuild Limited,Retail (Home Improvement),124.00,6.90,2929.06,10821.24,1.44,0.27,6.59,-424.70,0.00,0.47,-58.01,77.14,-20.00,-0.95,-21.77
APN,Aspen Pharmacare Holdings Limited,Biotechnology & Drugs,139.68,--,63757.15,38872.00,1.17,1.64,31.95,982.00,88.47,1.07,-1.91,118.01,39.68,3.01,-9.35
AFE,AECI Limited,Chemical Manufacturing,75.68,6.90,9265.03,24799.00,0.83,0.37,6.42,455.00,55.03,1.33,-32.42,18.23,-27.26,-0.11,75.10
RCL,RCL Foods Ltd,Food Processing,9.12,2.74,8746.12,25887.51,0.73,0.34,--,-1043.53,30.55,1.06,-38.17,12.59,-12.31,7.12,-6.42
TSG,Tsogo Sun Gaming Ltd,Casinos & Gaming,2.65,30.94,2236.90,11619.00,0.27,0.19,1.73,-626.00,128.85,3.61,-87.70,54.97,-73.23,4.60,-13.78
COH,Curro Hldg,Schools,8.39,1.22,3041.21,2944.00,0.64,1.03,17.11,-707.00,75.45,0.83,-67.09,78.89,-27.80,16.75,-129.10
TWR,Tower Property Fund Ltd,Real Estate Operations,2.61,14.32,886.22,471.74,0.27,1.88,3.59,28.51,57.15,0.76,-57.56,68.39,-32.56,0.56,-125.91
OMN,Omnia Holdings Limited,Chemical Manufacturing,18.00,--,3042.94,18628.00,0.25,0.16,--,-962.00,70.85,0.56,-51.35,44.00,-29.85,0.80,140.08
MTH,Motus Holdings Ltd,Auto & Truck Manufacturers,27.59,9.06,5291.51,79711.00,0.45,0.07,2.97,808.00,64.51,0.46,-68.86,19.96,-62.21,6.54,9.71
EMI,Emira Property Fund,Real Estate Operations,5.90,12.56,3083.74,1686.96,0.34,1.83,3.36,-223.02,58.94,0.16,-59.31,16.83,-49.66,-12.26,-20.69
HAR,Harmony Gold Mining Company Ltd,Gold & Silver,57.40,--,31152.44,26912.00,1.37,1.16,--,-357.00,26.16,0.75,-22.72,135.15,3.33,12.24,6957.63
DCP,Dis-Chem Pharmacies Ltd,Retail (Drugs),18.48,1.42,15894.36,23984.30,7.05,0.66,26.56,893.62,164.16,0.45,-36.93,2.38,-14.52,10.79,17.61
TBS,Tiger Brands Limited,Food Processing,153.24,2.83,29803.47,29232.70,1.80,1.02,6.50,-486.60,3.40,1.02,-38.75,6.56,-1.52,2.45,-74.79
MTN,MTN Group Limited,Communications Services,54.00,10.19,101562.10,151460.00,1.16,0.67,11.00,430.00,167.59,0.88,-52.82,105.71,-28.16,9.99,4.07
L4L,Long4life Ltd,Retail (Specialty),3.03,--,2601.40,3642.34,0.55,0.71,7.88,178.31,2.93,2.63,-39.88,36.49,-5.02,19.88,-10.59
